"","gene","cntA","cntB","med_pa_len_A","med_pa_len_B","iso_pa_pval","iso_pa_sig","iso_pa_diff"
"1630","GGH",5,15,58,107,0.0393347639484979,"True",49
"1631","GGPS1",12,13,101,83,0.373196022727273,"False",18
"1632","GHITM",227,234,81,73,0.475078389830508,"False",8
"1633","GID8",5,5,54,75,0.295828677839851,"False",21
"1637","GINS2",92,114,103.5,94.5,0.463390963577686,"False",9
"1638","GINS3",5,5,56,117,0.0167857142857143,"True",61
"1643","GLA",11,11,104,64,0.115525210084034,"False",40
"1646","GLG1",6,7,139,134,0.483550696594427,"False",5
"1649","GLIPR2",8,9,116,115,0.498436437797417,"False",1
"1650","GLMN",6,13,55.5,129,0,"True",73.5
"1652","GLO1",75,93,70,78,0.472409226826143,"False",8
"1653","GLOD4",26,33,125.5,132,0.477460317460318,"False",6.5
"1654","GLRX3",47,50,64,80,0.382134602311353,"False",16
"1655","GLRX5",6,9,84.5,76,0.46552380952381,"False",8.5
"1658","GLUL",103,216,106,104,0.509166666666667,"False",2
"1659","GLYR1",21,32,122,117,0.483610038610039,"False",5
"1660","GMCL1",5,5,166,129,0.210689655172414,"False",37
"1661","GMNN",54,83,62.5,85,0.310859649122807,"False",22.5
"1664","GMPR2",12,14,95.5,84.5,0.43876741693462,"False",11
"1665","GMPS",13,12,69,105,0.172459677419355,"False",36
"1668","GNAI2",13,18,106,63.5,0.0810344827586208,"False",42.5
"1669","GNAI3",45,79,90,88,0.497301233721727,"False",2
"1670","GNAS",30,105,96,107,0.448339340885685,"False",11
"1671","GNB1",53,68,140,144,0.489898838516298,"False",4
"1673","GNB2",13,12,141,121,0.384703703703704,"False",20
"1674","GNB2L1",561,450,76,79.5,0.486894256371244,"False",3.5
"1677","GNG2",9,21,168,132,0.247326111744584,"False",36
"1678","GNG4",6,12,60.5,74,0.413716735659373,"False",13.5
"1679","GNG5",92,159,76.5,97,0.348604471858134,"False",20.5
